address,city,compname,contents,education,industry,jobgood,jobname,jobway,month,salary,size,url
武汉,武汉,酷方,职位描述：岗位职责：1、负责全站产品库数据日常内容维护、编辑录入、整理、撰写、发布等工作；2、参与产品库数据优化，问题整理与反馈工作；3、协助对接各部门的录入需求；4、灵活应对其他的整理工作。任职要求：1、大三大四学生，理工科（含偏理的文科专业，如图书馆专业）专业优先考虑；2、熟练使用各类办公和设计软件；3、较强的逻辑思维能力和归纳总结能力，较强文字编辑能力；4、具有良好的职业道德，工作踏实认真，注重细节。,本科,计算机/互联网,职位诱惑：欢乐多 平台好 福利补贴 团队融恰,数据分析实习生,3天／周,实习7个月,40-80／天,15-50人,https://www.shixiseng.com/intern/inn_coxdfv9xxwrp
广州,广州,赛惟咨询,职位描述：岗位职责：协助数据运营中心进行资料搜集、整理，资料审核以及其他辅助性工作。协助数据分析师在公司数据库内完成数据清洗，配置规则和监控等辅助工作。任职要求：1.能保证半年以上时间段内，每周至少有4天到岗时间2.诚实正直、成熟稳重、善于交流3.良好的沟通协调能力和团队协作精神4.相关专业（统计学、数学、信息工程、计算机等）本科5.熟练使用MSOffice办公软件（Excel、PowerPoint）,本科,企业服务,职位诱惑：成长快，工作氛围良好，待遇好,实习生（数据分析部）,4天／周,实习6个月,120-130／天,50-150人,https://www.shixiseng.com/intern/inn_4siqbzhxuxbz
北京,北京,滴滴,职位描述：职位描述：1）基于公司大数据平台海量用户数据，运用数据挖掘的理论方法，准确、快速处理数据；2）深入理解业务部门提出的数据分析需求，支持面向业务的数据服务；3）基于对业务的深度理解，能在指导下建立数据商业模型。职位要求：1、对互联网行业有浓厚兴趣，聪敏敏锐，饥渴好奇，重点高校本科及以上学历；2、可以或能快速学习使用SQL软件做相关统计及分析；3、对数据与业务有足够敏感性，逻辑思维缜密，独立思考能力强；4、有创新意识，并具备良好的学习能力、团队合作精神、沟通能力和组织协调能力，具有高度的责任心，能在较大压力下工作；5、实习时间不少于6个月，每周工作至少4天以上。??,本科,计算机/互联网,职位诱惑：为您提供海量用户数据可以充分挖掘自己的潜力,大数据分析实习生,4天／周,实习6个月,200-250／天,2000人以上,https://www.shixiseng.com/intern/inn_h4kg2u6e64hv
深圳,深圳,歧黄咨询,职位描述：主要职责：1??负责相关数据的收集、建模和分析，并形成介绍材料2??负责相关政策的收集、解读3??负责介绍材料的讲解4??其它临时性工作主要任职要求1??数学类、统计类专业（必须符合）2??硕士学位，985院校的优秀本科生也可3??逻辑思维能力强4??有一定的沟通表达能力5??工作细心、严谨6??善使用各类数据分析软件薪资：面议,硕士,企业服务,职位诱惑：提供转正机会 并与各行业高管交流,数据分析师,2天／周,实习19个月,50-100／天,15-50人,https://www.shixiseng.com/intern/inn_sksul0nhmik5
杭州,杭州,有数金服,职位描述：任职要求：1、新闻、中文、财经类等相关专业，2019届应届生；2、具有一定的文字功底及基本数据处理能力；能熟练使用Word、Excel、PPT。,本科,金融,职位诱惑：一对一导师专业辅导与职业化系统培训,数据运营/舆情数据分析实习生,3天／周,实习13个月,100-150／天,150-500人,https://www.shixiseng.com/intern/inn_914hate1cgzm
苏州,苏州,食行生鲜,职位描述：管培生2018年应届毕业生公司提供完善的专业&amp;管理双职能晋升通道，及远超市场水平的薪酬待遇，旨在内部人才梯队的培养。我们希望求职者：1、对食行生鲜有一定的了解，认可公司发展方向；2、了解并接受日配置企业和服务型公司的性质特征；3、品行端正，有良好的沟通能力及团队合作精神，责任心强。具备独立思考、计划、组织、执行工作的能力，任职校社团管理负责人者优先；4、务实踏实，自律、自驱型人才优先。5、统计学相关专业,不限,其他,职位诱惑：晋升空间,数据分析师,5天／周,实习3个月,100-200／天,500-2000人,https://www.shixiseng.com/intern/inn_z3y4opafm9nv
广州,广州,健合集团,职位描述：该职位接受暑期实习&长期实习。工作职责：1、对接平台API系统订单下载业务；2、平台API系统日常订单数据导入工作；3、平台商品销售额数据分析，业绩排名；4、精准的数据分析结果报告，确保及时、准确地提供数据分析结果。任职资格：1、本科以上学历，信息与计算科学，统计学相关专业；2、对电商业务有一定的兴趣和了解；3、较强的数据分析能力，清晰的逻辑思维能力；4、沟通能力强，有一定抗压能力，具有较强的责任心。,本科,快消,职位诱惑：国际平台 移动办公,电商数据分析实习生,4天／周,实习4个月,100-101／天,2000人以上,https://www.shixiseng.com/intern/inn_gufyiiblhtq4
北京,北京,Talent X,职位描述：该职位接受暑期实习&长期实习。-岗位职责1.负责收集、整理运营数据，同时整合多渠道的业务数据，编写运营数据分析报告，提供数据分析支持、报表分析支持、报表模型支持等；2.从数据分析中发现问题、风险，并提出合理化建议，推动解决3.支持项目组工作，协助开发人员-任职要求1.统计学、应用数学、情报学等相关专业硕士生2.熟练运用Excel、SPSS、SAS、R、Python等分析软件3.有数据挖掘、文本挖掘、自然语言理解实际运用经验优先；熟悉SQL优先，掌握java，python，R等语言优先-我们还期待你：Passionate：对创业项目、移动互联网、创新设计有高度兴趣，对工作有激情，乐观积极Hustle：迅速行动，以最有创意的方式解决问题，有耐心&amp;负责任，乐于接受挑战&amp;能适应多任务处理及工作压力Considering：高情商，具备团队协作精神，有较强的协作及沟通能力Fastlearning：敏锐的洞察力，逻辑条理清晰，迅速分析及解决问题，强大的主动学习意识??,本科,教育培训,职位诱惑：行内大牛 无限零食  学习发展 自我提升,数据分析实习生,3天／周,实习3个月,120-150／天,少于15人,https://www.shixiseng.com/intern/inn_c75ex5udmpco
深圳,北京,大行简道资管,职位描述：数据分析工程师/实习生岗位职责：1、股票、期货程序化交易数据分析，包括各类高频交易数据的管理、维护、清洗等；2、构建、训练机器学习模型；3、研究、学习各类金融数据以及获取途径任职要求：1、物理、数学、电子、计算机等相关专业在读研究生；2、熟悉Python，了解Python基本语法、数据结构、性能特征，熟悉动态语言的基本性质；3、熟悉机器学习、深度学习；4、熟悉C#、SQL/MySQL数据库者优先；5、具有较强的沟通能力,硕士,金融,职位诱惑：实习补贴nice，全职员工工资丰厚，同事nice，氛围融洽，boss nice，经常旅游，不加班,数据分析工程师/实习生,4天／周,实习15个月,240-260／天,50-150人,https://www.shixiseng.com/intern/inn_xqdd9odmf3tn
上海,上海,英格索兰,"职位描述：工作内容：帮助业务团队进行各项财务及业务数据的分析处理；协助完成各类日常报表和管理报告；协助完成重大项目的数据整合。实习收获：该岗位能够有效的了解大公司的运营流程，财务分析过程以及紧急报告的处理思路，涵盖表格搭建，系统操作，跨部门沟通，财务准则等各项综合内容，同时有利于提升英语表达力及逻辑思维能力。要求：1.211或985本科或研究生不限2.专业为财务，会计,审计或企业管理（有志于毕业从事财务工作）3.每周至少三天，能持续至少5个月（时间可谈）4.能够用英语书面表达5.熟练操作excel.关键函数，例如vlookup,sumif,sumifs.6.灵活聪明，愿意潜心学习而非单纯蹭大公司实习经历",不限,大型设备/机电设备/重工业,职位诱惑：美资外企,财务实习生-数据分析,3天／周,实习6个月,100-120／天,2000人以上,https://www.shixiseng.com/intern/inn_sdlz0plajjev
北京,上海,飞利浦照明,"职位描述：飞利浦照明实习生JB2209DataAnalysisIntern此职位由上海东浩人力资源有限公司为飞利浦照明中国招聘地址：北京市朝阳区天泽路16号润世中心2号楼8层-地铁10号线亮马桥站工资：本科/14H；硕士/18H+饭贴工作时间：一周3天，6个月要求：经济金融或英文相关专业，本科及以上学历1.根据部门项目要求，收集整理分析建筑，节能等相关政策法规，完善政策法规库数据文件，2.根据部门项目情况，协助参与项目进行3.部门日常事务处理.PhilipsLightingThroughahugearrayofproducts,andvarietyindesign,intensity,colorandeffects,wehelpmakelifeeasierandmoreefficient.FromlightingforinteriorsandofficestoOlympicStadiumsandtheEiffelTower,webeautifypeople’shomesandpublicspacesandenhancesafetyandasenseofwell-being.Lightcanprovideheat,purifywater,treatdisease,increaseroadsafety_evenplayaroleinsemiconductormanufacturing_andwe’reactiveinthemall.LightEmittingDiodes(LEDs)areatruly‘disruptivetechnology’fortheLightingSector,offering‘neverbeforepossible’levelsofenergysavings,lifetimereliabilityandcontrollabilityoflight(tonameafew).PhilipsLightingaredeterminedtobecomethegloballeaderinLEDbasedlightingsolutions.Fundamentalchangesinthecompetitiveenvironmentandvaluechainsarehappening,andPhilipsislookingfortoptalentstohelpshapethis‘newworldofLight’.欲了解更多飞利浦照明新闻请访问：",不限,电子,职位诱惑：优秀团队，办公环境好,飞利浦照明数据分析实习生,3天／周,实习3个月,112-144／天,2000人以上,https://www.shixiseng.com/intern/inn_1nrhp69qdrhn
北京,北京,CheilPengTai,职位描述：岗位职责:1.使用合适的数据分析工具进行数据分析和模型设计；2.提出基于数据的结果和分析建议，根据分析结果进行行业研究、评估和预测；3.编写数据分析报告；岗位要求:1.本科以上学历，计算机、数学、统计学等相关专业；2.深刻理解大数据分析原理及相关应用；3.熟练掌握主流数据库技术；,本科,"计算机/互联网,广告",职位诱惑：团队优秀 发展前景,数据分析助理,4天／周,实习3个月,120-160／天,500-2000人,https://www.shixiseng.com/intern/inn_k3nddzgtfded
北京,北京,阳狮媒体,职位描述：职位描述：1.在主管的指导下参与VivaKiDMP产品的开发与运营工作，包括网站分析、标签管理、人群画像等2.参与VivaKiInsight的个案研究项目，供应商对接，项目管理，数据分析等工作要求：1.计算机、统计或相关专业，略懂机器学习，有用数据说话的思维和意识；2.有较好的沟通、表达、领悟、协调能力和良好的逻辑思维能力，注重细节；3.良好的英语能力；4.乐于学习、踏实肯干、吃苦耐劳；5.大四或者研一研二，课业负担较轻，能保证每周四天以上实习时间。,不限,广告,职位诱惑：感受4A高效的办公节奏，与行业大咖一起学习成长，变身广告人,产品运营与数据分析实习生,4天／周,实习12个月,80-100／天,150-500人,https://www.shixiseng.com/intern/inn_6iln4iawrlmf
北京,北京,阳狮媒体,职位描述：实习工作内容：1.在主管的指导下参与VivaKiDMP产品的开发与运营工作，包括网站分析、标签管理、人群画像等2.参与VivaKiInsight的个案研究项目，供应商对接，项目管理，数据分析等工作要求：1.计算机、统计或相关专业，略懂机器学习，有用数据说话的思维和意识；2.有较好的沟通、表达、领悟、协调能力和良好的逻辑思维能力，注重细节；3.良好的英语能力；4.乐于学习、踏实肯干、吃苦耐劳；5.大四或者研一研二，课业负担较轻，能保证每周四天以上实习时间。其他福利：超时工作饭补及交通补助,不限,广告,职位诱惑：专业的leader，良好的工作氛围，优美的办公环境,产品运营与数据分析实习生,4天／周,实习3个月,80-100／天,500-2000人,https://www.shixiseng.com/intern/inn_woorq6yjfys7
合肥,合肥,乐职网,职位描述：该职位接受暑期实习&长期实习。我们希望的伙伴是：在校期间，有过数据采集、清洗、挖掘、分析的完整实践；熟悉SQL语言，熟悉至少一门编程语言；有技术追求和极客精神，酷爱学习新技术、新知识。主要工作内容：基于乐职已有的数据仓库，开展数据清洗、数据挖掘工作；结合业务场景和数据应用场景，开展数据分析工作；通过编程语言，开展数据相关的小应用。乐职积累有千万级的高价值数据，并已有成熟的数据业务的应用场景，数据相关的实践机会很多，欢迎热爱数据分析、愿意往数据方向长期发展的同学加入乐职！,本科,计算机/互联网,职位诱惑：转正机会，大牛技术导师直接带，丰富的应用开发实战机会,数据分析师,5天／周,实习5个月,100-200／天,15-50人,https://www.shixiseng.com/intern/inn_vd7jtpae03j3
合肥,合肥,乐职网,职位描述：该职位接受暑期实习&长期实习。主要工作内容：1、内容调研：调研各类数据报告，分析内容结构、数据维度等；通过社群，对用户的内容需求开展调研；2、数据分析：基于已有的相关数据，开展数据分析；3、撰写数据报告：基于数据分析成果，撰写各类数据分析报告；我们希望你：1、有较好的文字功底2、熟练使用Excel、Word、PPT等办公软件，精通上述办公软件更佳3、独立或作为项目组核心成员撰写过数据相关的分析报告4、有较强的英语阅读能力，能较顺畅阅读英语文章,本科,计算机/互联网,职位诱惑：大牛带，实践机会多，能接触到核心运营环节,数据分析与内容编辑,3天／周,实习3个月,100-120／天,15-50人,https://www.shixiseng.com/intern/inn_5owjiqtgsrmv
北京,北京,琥珀创想,职位描述：该职位接受暑期实习&长期实习。我们需要你：1.各维度的日常（日，周，月）数据报表，数据可视化；2.数据监控，异常数据预警；3.简单的数据分析，归因；4.根据业务方需求跑出所需数据，以供分析；5.其他相关的日常工作。你需要具备什么技能？1.统招本科，市场营销，统计学，经济学，数学，市场等相关专业出身，理工科专业优先；2.非常欢迎各类擅长excel的“表哥”，“表姐”们，数据工具小达人们，会SQL那就更赞啦~3.非常欢迎工作细致认真，踏实专注，有团结精神的小哥哥和小姐姐们骚扰哈！懒癌患者勿扰，粗心主义者勿扰~4.每周工作至少4天以上，能够连续实习至少3个月以上。福利：1.活力夹心饼干：工作日午饭、晚饭管饱！2.大牛带，团队有爱逗比，大佬亲自教学游泳，免费健身房了解一下o(*￣_￣*)ブ如何达到战场？使用传送技能（地铁13号线）传送到“北苑站”，即可。我们在泉水边（中国铁建广场B座8层）等你。,本科,计算机/互联网,职位诱惑：转正机会；团队氛围好；大牛带；海外市场；免费工作餐；,数据分析运营实习生,4天／周,实习4个月,130-150／天,50-150人,https://www.shixiseng.com/intern/inn_yapb6pniyhfd
宁波,宁波,萌牙,"职位描述：岗位职责：1、搜集公司所需广告投放信息数据，建立广告投放管理数据库；2、基于数据分析，根据产品特点、市场状况、公司状况等，提出广告投放建议；3、参与制定广告计划、计划的落实与执行；4、监控广告数据，并作分析、统计,及时调整投放策略，以达到广告效果，不断提升ROI；5、不断学习优秀案例，并反思自己在数据分析中的不足，总结优化经验。任职要求：1、本科及以上学历，985、211高校优先，数学、统计学、计算机、经济学、管理学等相关专业优先，有数据分析从业经验优先2、具有很强的逻辑和数字分析能力，包括数据建模的能力3、熟练使用SQL/Database,SPSS，ExcelVBA等4、热爱并有志于从事数据挖掘和分析工作萌牙的用人标准：价值观是我们的唯一用人标准！我们将一直强调身体和思想上同步的艰苦奋斗，努力学习知识，学习他人，不断反思自己，纠正自己，从而有所创新，有所进取！高压下的鞭策和成长，是我们对待每一位战友的态度和期许！萌牙的价值观：不断学习、艰苦奋斗、团队合作。我们要求每位员工每月都要看2本以上图书，我们员工的工资和学习成果相关。你的待遇和你的成长速度成正比。萌牙的信念：让每个人的口腔更健康，为生活展露健康自信的微笑！萌牙可以为你提供：1、轻松愉悦的工作氛围！85后和90后组成的工作团队，可以让你轻松融入团队，给你温暖，教你技能，伴你成长！2、看不完的书！帮助你提升知识面，进一步提高能力。公司分学习小组，让你在学习路上不孤单，也享受学习竞赛带来的乐趣。3、培训体系！虽然还不够完善，但一直在不断完善，只为你能够有更高的工作效率,也会为你提供良好的职业规划建议！4、冰箱、微波炉、吧台，还有各类花茶、咖啡和零食！希望给你紧张的工作带来一些帮助！5、有竞争力的薪酬体系！我们正不断创造更高薪资的可能性！在萌牙，每个人都有可能拿到的期权！优厚的待遇：基本工资+餐补+全勤+提成+五险一金+年终奖+节假日现金红包+生日福利+员工旅游+部门活动！6、广阔的发展空间！优先考虑内部晋升，你的舞台足够大！我们欢迎能够和我们有共同信念的你加入，迎接挑战以及分享成长过程中的快乐以及痛苦！我们不墨守成规，我们勇于创新，勇于挑战，为每个人的口腔健康做出我们的一份努力和贡献！",不限,计算机/互联网,职位诱惑：扁平管理 五险一金 股权激励 绩效奖金 年底多薪,广告投放顾问实习生（数据分析）,5天／周,实习9个月,120-180／天,50-150人,https://www.shixiseng.com/intern/inn_p6ckxeytbhr3
"北京,上海",上海,奥思礼礼宾,职位描述：主要工作职责:1.客户使用率报告2.有效客户申报名单更新及相关数据分析3.案件案例文案撰写4.其他相关的临时工作资质要求：1.工作细致认真。2.良好的沟通能力，3.良好的office办公软件基础，能够熟练使用Excel的同学优先考虑。4.每周至少能够工作2天。,不限,其它,职位诱惑：办公环境，员工福利， 职业发展,数据分析实习生,2天／周,实习3个月,144-200／天,50-150人,https://www.shixiseng.com/intern/inn_jpbjff0tbxug
杭州,杭州,杭州铭师堂教育,职位描述：该职位接受暑期实习&长期实习。工作内容：参与数据开发工作，临时数据提取，数据报表开发上线；参与数据分析相关工作，协助专业数据分析师完成数据分析报告；任职条件：1.2019年毕业，统计学或者数学相关专业；2.有良好的数据思维；3.能熟练使用SQL；4.能熟练使用excel和ppt,本科,计算机/互联网,职位诱惑：氛围好 学习机会多,数据分析实习生,4天／周,实习12个月,180-280／天,500-2000人,https://www.shixiseng.com/intern/inn_pmhuszrvzzfo
北京,北京,特斯拉Tesla Motors,职位描述：商业解决方案实习生（数据分析方向）工作内容与职责·收集并整理每周工作数据，按要求生成报告；·案件类型，支出数据统计和分析；·支持相关项目进展；·记录并总结会议纪要；·其他被要求完成的工作。要求·在相关领域获得学士学位或同等经验;·高度的主观能动性，抗压能力强，结果导向；·精通Excel软件；·娴熟的英语和中文沟通以及读写能力;·Atleast3-4days attendanceperweek.,不限,制造,职位诱惑：特斯拉中国总部,商业解决方案实习生（数据分析方向）,5天／周,实习6个月,100-120／天,2000人以上,https://www.shixiseng.com/intern/inn_w5pelazam5u2
北京,北京,滴滴出行,职位描述：1）基于公司大数据平台海量用户数据，运用数据挖掘的理论方法，准确、快速处理数据；2）深入理解业务部门提出的数据分析需求，支持面向业务的数据服务；3）基于对业务的深度理解，能在指导下建立数据商业模型。职位要求：1、重点高校本科及以上学历，计算机、数学、统计、经济学相关专业优先；2、对互联网行业有浓厚兴趣，对数据相关工作有充分的好奇心与钻研欲望，能使用或能快速学习SQL语言，熟练掌握SQL技能优先录取；3、对数据与业务有足够敏感性，逻辑思维缜密，独立思考能力强；4、有创新意识，并具备良好的学习能力、团队合作精神、沟通能力，有责任心，抗压能力强；5、实习时间不少于6个月(18届实习至转正)，每周工作至少4天以上。,本科,计算机/互联网,职位诱惑：转正机会，大平台，前景广阔，氛围好，大牛带队，福利好,数据分析实习生,5天／周,实习8个月,200-260／天,2000人以上,https://www.shixiseng.com/intern/inn_gvszt5p88ujc
北京,北京,滴滴出行,职位描述：工作职责：1、数据驱动：深入理解业务需求，结合数据方法和工具进行数据提取、整合、分析，为产品及决策提供数据分析支持，确保业务朝正确方向高效迭代发展2、数据监控：完成对业务关键指标的监控及异常波动等分析工作，并不断主动思考、反馈数据发现的各类业务问题，推进解决优化3、数据生产和工具：积极和业务方充分沟通，结合业务，生产、建设基础数据和工具，积极配合推进数据项目，并应用解决业务问题任职资格：1、可以实习一周4天，连续6个月（硬性要求）2、计算机、统计学相关专业优先，熟练掌握SQL语法3、本科及以上4、熟练掌握Office工具（Excel）5、有代码功底是加分项6、责任心强，有较好的沟通能力，逻辑分析能力7、工作积极主动，对自己高要求，做事精益求精待遇及福利：薪资：200-260/天（本科200、研究生260）饭补：下午水果；加班到8点后，可以免费点加班餐（30元标准）健身：每天中午有15分钟瑜伽健身时间（瑜伽老师辅导）,本科,互联网,职位诱惑：待遇好，团队优秀，业务核心，成长快,数据分析实习生,4天／周,实习6个月,200-260／天,2000人以上,https://www.shixiseng.com/intern/inn_jqph0ith6s1v
深圳,深圳,乐格,职位描述：岗位职责1、负责零售数据信息的搜集、整理、录入、编辑、更新与维护等工作；2、了解零售行业，具备基本的零售行业知识和经验；3、有良好的耐心与细心去完成数据工作；4、有较强的需求分析能力、逻辑推理能力、沟通协调能力岗位要求：1、熟练操作使用Word、Excel等基本办公软件；2、踏实努力，有工作激情，注重团队合作；3、熟练使用各大地图，对地理位置信息敏感度强；4、具有零售行业经验或兴趣优先考虑。5、专业不限定；【我们将提供给你】1、合理的薪资2、周末双休3、节日福利4、轻松的职场氛围5、广阔的晋升空间6、入职即购的五险一金7、带薪年假以及工龄假8、不定期下午茶以及团建活动,大专,企业服务,职位诱惑：五险一金 带薪年假 周末双休 一年多次团队活动,数据分析师,5天／周,实习3个月,170-220／天,50-150人,https://www.shixiseng.com/intern/inn_jve2by8htgui
北京,北京,辉瑞,"职位描述：
【岗位描述】协助医疗真实世界数据/大数据分析项目的初步沟通、数据处理和跟踪。与专家或相关的决策者讨论，初步制订某个方向真实世界数据/大数据分析策略和方向。查找相关的文献、与专家、大数据分析师一起制订分析的方案。进行初步分析，提供数据所提示的趋势。在项目进行中，协调专家和数据分析师进行沟通、督促项目进展。
【岗位要求】掌握医疗真实世界数据/大数据分析方法，包括观察性研究等的设计和分析。本科以上学历，流行病学、公共卫生、医学统计学相关专业，硕士或博士研究生在读优先。有真实世界数据应用经验或临床研究经验的优先。实习期6个月以上，每周至少四天，近期可入职，且保证在此期间为在读状态。",本科,生物/医疗,职位诱惑：世界顶尖药企、世界500强实习经历、优秀团队,医学部医学创新与转化团队数据分析实习生,4天／周,实习7个月,100-120／天,2000人以上,https://www.shixiseng.com/intern/inn_pclcjumxzc9x
